id,context,sentence,graph,variable_name,predicate,broad_aspect_1,broad_aspect_2,broad_aspect_3,broad_aspect_4,broad_aspect_5,compare
lpp_1943.1,,Chapter 1 .,"(s1p / publication-91
     :ARG1 (s1c / chapter
                :ord (s1o / ordinal-entity
                          :value 1))
     :ARG3 (s1t / thing))",s1p,publication-91,none,none,,,none,TRUE
lpp_1943.12," But they answered : "" Frighten ?"," Why should any one be frightened by a hat ? ""","(s12s / say-91
      :ARG0 (s12p2 / person)
      :ARG1 (s12f / frighten-01
                  :ARG0 (s12h / hat)
                  :ARG1 (s12p / person
                              :mod (s12a / any)
                              :refer-person 3rd
                              :refer-number singular)
                  :reason (s12u / umr-unknown)
                  :quote s12s)
      :ARG2 (s12p3 / person))",s12s,say-91,none,performance,performance,,performance,FALSE
lpp_1943.12," But they answered : "" Frighten ?"," Why should any one be frightened by a hat ? ""","(s12s / say-91
      :ARG0 (s12p2 / person)
      :ARG1 (s12f / frighten-01
                  :ARG0 (s12h / hat)
                  :ARG1 (s12p / person
                              :mod (s12a / any)
                              :refer-person 3rd
                              :refer-number singular)
                  :reason (s12u / umr-unknown)
                  :quote s12s)
      :ARG2 (s12p3 / person))",s12f,frighten-01,state,state,,,state,TRUE
lpp_1943.21,"Grown - ups never understand anything by themselves , and it is tiresome for children to be always and forever explaining things to them .","So then I chose another profession , and learned to pilot airplanes .","(s21h / have-reason-91
      :ARG1 (s21a / and
                  :op1 (s21c / choose-01
                             :ARG0 (s21i / i)
                             :ARG1 (s21p / profession
                                         :mod (s21a2 / another)))
                  :op2 (s21l / learn-01
                             :ARG0 s21i
                             :ARG1 (s21p2 / pilot-01
                                          :ARG0 s21i
                                          :ARG1 (s21a3 / airplane)))))",s21h,have-reason-91,none,none,,,none,TRUE
lpp_1943.21,"Grown - ups never understand anything by themselves , and it is tiresome for children to be always and forever explaining things to them .","So then I chose another profession , and learned to pilot airplanes .","(s21h / have-reason-91
      :ARG1 (s21a / and
                  :op1 (s21c / choose-01
                             :ARG0 (s21i / i)
                             :ARG1 (s21p / profession
                                         :mod (s21a2 / another)))
                  :op2 (s21l / learn-01
                             :ARG0 s21i
                             :ARG1 (s21p2 / pilot-01
                                          :ARG0 s21i
                                          :ARG1 (s21a3 / airplane)))))",s21c,choose-01,performance,performance,,,performance,TRUE
lpp_1943.21,"Grown - ups never understand anything by themselves , and it is tiresome for children to be always and forever explaining things to them .","So then I chose another profession , and learned to pilot airplanes .","(s21h / have-reason-91
      :ARG1 (s21a / and
                  :op1 (s21c / choose-01
                             :ARG0 (s21i / i)
                             :ARG1 (s21p / profession
                                         :mod (s21a2 / another)))
                  :op2 (s21l / learn-01
                             :ARG0 s21i
                             :ARG1 (s21p2 / pilot-01
                                          :ARG0 s21i
                                          :ARG1 (s21a3 / airplane)))))",s21l,learn-01,performance,performance,,,performance,TRUE
lpp_1943.21,"Grown - ups never understand anything by themselves , and it is tiresome for children to be always and forever explaining things to them .","So then I chose another profession , and learned to pilot airplanes .","(s21h / have-reason-91
      :ARG1 (s21a / and
                  :op1 (s21c / choose-01
                             :ARG0 (s21i / i)
                             :ARG1 (s21p / profession
                                         :mod (s21a2 / another)))
                  :op2 (s21l / learn-01
                             :ARG0 s21i
                             :ARG1 (s21p2 / pilot-01
                                          :ARG0 s21i
                                          :ARG1 (s21a3 / airplane)))))",s21p2,pilot-01,habitual,habitual,,,,TRUE
lpp_1943.22,"So then I chose another profession , and learned to pilot airplanes .",I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .,"(s22a / and
      :op1 (s22f / fly-01
                 :ARG0 (s22i / i)
                 :place (s22o / over
                              :op1 (s22p2 / part
                                          :part-of (s22w / world))))
      :op2 (s22u / useful-05
                 :ARG0 s22i
                 :ARG1 (s22g / geography)
                 :degree intensifier))",s22f,fly-01,performance,performance,,,performance,TRUE
lpp_1943.22,"So then I chose another profession , and learned to pilot airplanes .",I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .,"(s22a / and
      :op1 (s22f / fly-01
                 :ARG0 (s22i / i)
                 :place (s22o / over
                              :op1 (s22p2 / part
                                          :part-of (s22w / world))))
      :op2 (s22u / useful-05
                 :ARG0 s22i
                 :ARG1 (s22g / geography)
                 :degree intensifier))",s22u,useful-05,state,state,,,,TRUE
lpp_1943.23,I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .,At a glance I can distinguish China from Arizona .,"(s23p / possible-01
      :ARG1 (s23d / distinguish-01
                  :ARG0 (s23i / i)
                  :ARG1 (s23c / country
                              :name (s23n / name
                                          :op1 ""China"")
                              :wiki ""China"")
                  :ARG2 (s23s / state
                              :name (s23n2 / name
                                           :op1 ""Arizona"")
                              :wiki ""Arizona"")
                  :manner (s23g / glance-01
                                :ARG0 s23i)))",s23p,possible-01,state,state,,,state,TRUE
